1786070580| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070581| level: 90| voltage: 4322| temperature: 275| current now: -150781| charge counter: 4452200|
1786070582| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070583| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070585| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070586| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070587| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070588| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070589| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070590| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070591| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070592| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070593| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070594| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070595| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070596| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070597| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070598| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070599| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070600| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070601| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070602| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070603| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070604| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070605| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070607| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070608| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070609| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070610| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070611| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070612| level: 90| voltage: 4321| temperature: 275| current now: -135937| charge counter: 4452200|
1786070613| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070614| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070615| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070616| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070617| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070618| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070619| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070620| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070621| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070622| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070623| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070624| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070625| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070627| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070628| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070629| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070630| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070631| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070632| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
1786070633| level: 90| voltage: 4320| temperature: 275| current now: -130468| charge counter: 4452200|
