
"(PDH-CSV 4.0)","\\QCWORKSHOP4\Processor(_Total)\% Processor Time"
"08/06/2026 20:31:30.670","79.882057"
"08/06/2026 20:31:31.672","78.837931"
"08/06/2026 20:31:32.686","80.609499"
"08/06/2026 20:31:33.691","79.397851"
"08/06/2026 20:31:34.698","81.508675"
"08/06/2026 20:31:35.699","81.255895"
"08/06/2026 20:31:36.706","80.749386"
"08/06/2026 20:31:37.711","80.170595"
"08/06/2026 20:31:38.723","79.022990"
"08/06/2026 20:31:39.731","80.625768"
"08/06/2026 20:31:40.734","79.229915"
"08/06/2026 20:31:41.736","79.721790"
"08/06/2026 20:31:42.744","79.729144"
"08/06/2026 20:31:43.752","80.373872"
"08/06/2026 20:31:44.764","54.434540"
"08/06/2026 20:31:45.764","79.821669"
"08/06/2026 20:31:46.771","78.532456"
"08/06/2026 20:31:47.787","79.354500"
"08/06/2026 20:31:48.803","43.247112"
"08/06/2026 20:31:49.817","4.319845"
"08/06/2026 20:31:50.833","4.484814"
"08/06/2026 20:31:51.852","27.894307"
"08/06/2026 20:31:52.859","80.207209"
"08/06/2026 20:31:53.859","79.438325"
"08/06/2026 20:31:54.868","79.596067"
"08/06/2026 20:31:55.870","83.250032"
"08/06/2026 20:31:56.878","79.182617"
"08/06/2026 20:31:57.880","80.905244"
"08/06/2026 20:31:58.886","79.165478"
"08/06/2026 20:31:59.889","80.400352"
"08/06/2026 20:32:00.897","79.317621"
"08/06/2026 20:32:01.902","81.487571"
"08/06/2026 20:32:02.906","81.836486"
"08/06/2026 20:32:03.906","79.043328"
"08/06/2026 20:32:04.909","79.474911"
"08/06/2026 20:32:05.924","79.217008"
"08/06/2026 20:32:06.928","79.638265"
"08/06/2026 20:32:07.933","79.661136"
"08/06/2026 20:32:08.937","80.166950"
"08/06/2026 20:32:09.940","55.320307"
"08/06/2026 20:32:10.945","79.541165"
"08/06/2026 20:32:11.947","80.896275"
"08/06/2026 20:32:12.952","79.660466"
"08/06/2026 20:32:13.956","79.894369"
"08/06/2026 20:32:14.959","79.754712"
"08/06/2026 20:32:15.966","80.213202"
"08/06/2026 20:32:16.972","79.667017"
"08/06/2026 20:32:17.979","80.606876"
"08/06/2026 20:32:18.981","80.902102"
"08/06/2026 20:32:19.986","79.011787"
"08/06/2026 20:32:20.989","79.494281"
"08/06/2026 20:32:21.995","78.906250"
"08/06/2026 20:32:23.004","80.247196"
"08/06/2026 20:32:24.006","81.598771"
