
"(PDH-CSV 4.0)","\\QCWORKSHOP4\Processor(_Total)\% Processor Time"
"08/06/2026 20:23:59.885","17.343085"
"08/06/2026 20:24:00.894","11.359052"
"08/06/2026 20:24:01.900","12.306012"
"08/06/2026 20:24:02.901","8.237569"
"08/06/2026 20:24:03.903","57.348574"
"08/06/2026 20:24:04.914","51.823905"
"08/06/2026 20:24:05.930","39.005171"
"08/06/2026 20:24:06.939","40.376179"
"08/06/2026 20:24:07.940","32.632914"
"08/06/2026 20:24:08.956","39.916571"
"08/06/2026 20:24:09.958","35.757015"
"08/06/2026 20:24:10.964","16.453493"
"08/06/2026 20:24:11.977","7.870558"
"08/06/2026 20:24:12.990","19.149850"
"08/06/2026 20:24:14.002","6.627440"
"08/06/2026 20:24:15.003","20.474295"
"08/06/2026 20:24:16.016","2.880491"
"08/06/2026 20:24:17.028","19.799572"
"08/06/2026 20:24:18.042","3.467005"
"08/06/2026 20:24:19.045","20.015728"
"08/06/2026 20:24:20.059","18.965982"
"08/06/2026 20:24:21.063","20.016961"
"08/06/2026 20:24:22.078","21.601394"
"08/06/2026 20:24:23.083","22.659271"
"08/06/2026 20:24:24.098","15.458073"
"08/06/2026 20:24:25.100","23.349928"
"08/06/2026 20:24:26.113","23.130008"
"08/06/2026 20:24:27.129","22.357078"
"08/06/2026 20:24:28.143","22.954842"
"08/06/2026 20:24:29.146","28.985005"
"08/06/2026 20:24:30.151","25.724082"
"08/06/2026 20:24:31.166","20.342016"
"08/06/2026 20:24:32.166","20.033160"
"08/06/2026 20:24:33.182","19.672792"
"08/06/2026 20:24:34.199","19.343936"
"08/06/2026 20:24:35.214","19.327985"
"08/06/2026 20:24:36.227","19.620957"
"08/06/2026 20:24:37.241","23.237424"
"08/06/2026 20:24:38.249","20.166121"
"08/06/2026 20:24:39.264","35.883430"
"08/06/2026 20:24:40.265","22.771321"
"08/06/2026 20:24:41.267","22.458571"
"08/06/2026 20:24:42.273","20.167705"
"08/06/2026 20:24:43.290","19.973028"
"08/06/2026 20:24:44.292","23.626768"
"08/06/2026 20:24:45.304","20.470737"
"08/06/2026 20:24:46.309","16.814350"
"08/06/2026 20:24:47.322","19.890202"
"08/06/2026 20:24:48.326","18.340342"
"08/06/2026 20:24:49.331","20.312498"
"08/06/2026 20:24:50.346","20.292145"
"08/06/2026 20:24:51.347","20.807132"
"08/06/2026 20:24:52.364","21.384085"
"08/06/2026 20:24:53.365","21.206818"
"08/06/2026 20:24:54.369","20.849070"
"08/06/2026 20:24:55.370","21.446329"
"08/06/2026 20:24:56.384","22.720062"
"08/06/2026 20:24:57.386","23.563551"
"08/06/2026 20:24:58.387","25.602474"
"08/06/2026 20:24:59.391","20.187921"
"08/06/2026 20:25:00.404","20.755763"
"08/06/2026 20:25:01.419","21.350675"
"08/06/2026 20:25:02.423","20.521394"
"08/06/2026 20:25:03.436","26.771707"
"08/06/2026 20:25:04.442","31.194401"
"08/06/2026 20:25:05.448","28.159322"
"08/06/2026 20:25:06.462","21.178106"
"08/06/2026 20:25:07.465","16.469113"
"08/06/2026 20:25:08.483","24.742503"
"08/06/2026 20:25:09.490","22.346095"
"08/06/2026 20:25:10.491","25.791624"
"08/06/2026 20:25:11.495","24.489485"
"08/06/2026 20:25:12.496","20.396474"
"08/06/2026 20:25:13.510","18.142250"
"08/06/2026 20:25:14.511","10.964923"
"08/06/2026 20:25:15.525","15.888104"
"08/06/2026 20:25:16.526","19.522876"
"08/06/2026 20:25:17.538","22.273278"
"08/06/2026 20:25:18.539","15.014999"
"08/06/2026 20:25:19.557","17.154811"
"08/06/2026 20:25:20.568","23.762012"
"08/06/2026 20:25:21.584","20.922851"
"08/06/2026 20:25:22.598","30.429686"
"08/06/2026 20:25:23.612","26.540405"
"08/06/2026 20:25:24.625","21.183659"
"08/06/2026 20:25:25.628","19.999988"
"08/06/2026 20:25:26.642","32.634845"
"08/06/2026 20:25:27.654","81.988981"
"08/06/2026 20:25:28.655","79.958582"
"08/06/2026 20:25:29.655","82.426880"
"08/06/2026 20:25:30.659","81.186983"
"08/06/2026 20:25:31.673","86.014569"
"08/06/2026 20:25:32.677","80.148193"
"08/06/2026 20:25:33.689","84.816243"
"08/06/2026 20:25:34.691","41.132496"
"08/06/2026 20:25:35.697","83.302396"
"08/06/2026 20:25:36.710","31.765578"
"08/06/2026 20:25:37.712","29.699473"
"08/06/2026 20:25:38.721","79.474756"
"08/06/2026 20:25:39.726","80.314187"
"08/06/2026 20:25:40.733","79.835992"
"08/06/2026 20:25:41.738","78.739417"
"08/06/2026 20:25:42.744","78.259910"
"08/06/2026 20:25:43.752","75.078149"
"08/06/2026 20:25:44.760","79.573187"
"08/06/2026 20:25:45.767","55.294548"
"08/06/2026 20:25:46.782","12.140479"
"08/06/2026 20:25:47.798","21.517072"
"08/06/2026 20:25:48.811","3.726992"
"08/06/2026 20:25:49.819","19.675298"
"08/06/2026 20:25:50.837","5.316688"
"08/06/2026 20:25:51.858","19.401519"
"08/06/2026 20:25:52.867","26.982877"
"08/06/2026 20:25:53.882","5.766554"
"08/06/2026 20:25:54.892","23.127990"
"08/06/2026 20:25:55.908","19.400624"
"08/06/2026 20:25:56.922","21.729211"
"08/06/2026 20:25:57.938","33.444354"
"08/06/2026 20:25:58.952","35.724616"
"08/06/2026 20:25:59.954","58.817280"
"08/06/2026 20:26:00.958","30.386351"
"08/06/2026 20:26:01.966","35.981635"
"08/06/2026 20:26:02.983","22.062960"
"08/06/2026 20:26:03.990","51.756467"
"08/06/2026 20:26:04.994","35.256645"
"08/06/2026 20:26:05.996","42.331804"
"08/06/2026 20:26:07.006","11.460370"
"08/06/2026 20:26:08.013","30.344166"
"08/06/2026 20:26:09.028","24.249804"
"08/06/2026 20:26:10.029","22.277200"
"08/06/2026 20:26:11.035","18.141958"
"08/06/2026 20:26:12.038","29.890264"
"08/06/2026 20:26:13.040","23.655273"
"08/06/2026 20:26:14.053","22.868028"
"08/06/2026 20:26:15.060","20.996454"
"08/06/2026 20:26:16.062","20.857258"
"08/06/2026 20:26:17.065","20.294178"
"08/06/2026 20:26:18.067","21.609374"
"08/06/2026 20:26:19.070","20.300122"
